;tweet;retweet;favoritos;id;data
0;1/Maior programa habitacional da história, o Minha Casa Minha Vida foi lançado em 2009 no Governo Lula e sua maior execução ocorreu no meu governo. Responsável pela contratação de mais de 5,5 milhões de moradias, 74% já entregues, o MCMV completa 10 anos ameaçado de extinção;331;1158;1113198557081821185;2019-04-02 21:56:32
1;2/Desde que assumiu, o governo Bolsonaro atrasa o pagamento das construtoras, sobretudo as de pequeno e médio porte. A dívida já chega a R$ 450 milhões e as obras começam a parar em todo o país, principalmente para a Faixa 1, que beneficia famílias com renda de até R$ 1.800,00;416;1441;1113198494976741377;2019-04-02 21:56:18
2;3/As construtoras informam que, com a paralisação das obras, 50 mil trabalhadores serão demitidos em 10 dias. No meu governo, o programa chegou a empregar 3,4 milhões de pessoas e foi responsável por 2/3 do mercado da construção civil, um dos mais dinâmicos da economia;135;433;1113198413838000130;2019-04-02 21:55:58
3;4/O governo Bolsonaro põe em risco a própria existência do MCMV, por descaso e falta de compromisso com as famílias brasileiras que mais precisam da casa própria para criar seus filhos e filhas em segurança. Não precisam de armas de fogo, mas da proteção de um lar;171;721;1113198390068879363;2019-04-02 21:55:53
4;5/O MCMV vem sendo desvirtuado desde o golpe de 2016, quando reduziram a contratação de moradias para famílias da Faixa 1. Nos governos do PT, 50% das obras eram destinadas a essas pessoas. Com Temer,  as contratações para da Faixa 1 foram reduzidas para absurdos 12%;105;303;1113198285458673664;2019-04-02 21:55:28
5;6/Agora Bolsonaro amplia o desastre iniciado pelos golpistas, ao esvaziar o MCMV. Enquanto brinca no twitter, disseminando intolerância, radicaliza a agenda neoliberal e joga a economia no fundo do poço. Quem nega a milhões de pessoas o acesso a um lar, não é a favor da família;152;555;1113198263954550784;2019-04-02 21:55:23
6;Em vídeo, ex-ministro Carlos Gabas e senador Jean Paul Prates desmascaram fake news de Paulo Guedes sobre medidas dos governos do PT em relação à Previdência. Assista o vídeo de 1m54s no link abaixo: https://t.co/CzPuL6fiC9;382;1115;1112846173889593349;2019-04-01 22:36:18
7;#DitaduraNuncaMais #1964NãoDáPraComemorar https://t.co/mC0YL8pghO;460;1838;1112372313322897408;2019-03-31 15:13:21
8;Nota: DIA DE LUTO, DIA DE LUTA 55 anos depois da ditadura militar, vivemos novamente tempos sombrios de ódio e intolerância. A íntegra da nota está neste link: https://t.co/tuhPyD43Wf;1351;7230;1112349462133964800;2019-03-31 13:42:32
9;"“A VERDADE PACIFICA” O discurso de Dilma Rousseff na instalação da Comissão Nacional da Verdade: ""a ignorância sobre a história mantêm latentes mágoas e rancores"". A ÍNTEGRA ESTÁ NO LINK A SEGUIR: https://t.co/025PZKGRcr https://t.co/u0T4Y9Z5Jz";102;535;1112349041860509698;2019-03-31 13:40:52
10;#DitaduraNuncaMais #1964NãoDáPraComemorar https://t.co/3nphzSzm5y;850;3168;1112341550015672320;2019-03-31 13:11:06
11;#DitaduraNuncaMais #1964NãoDáPraComemorar https://t.co/N95nY1ZMfg;941;3782;1112316344933015552;2019-03-31 11:30:57
12;#DitaduraNuncaMais #1964NãoDáPraComemorar  https://t.co/iTY9FlILd8;212;871;1112190162023403520;2019-03-31 03:09:32
13;O Golpe de 64: Segundo a Comissão da Verdade, mais de 300 pessoas, entre militares, agentes e até mesmo ex-presidentes, foram responsabilizadas por detenções ilegais e de tortura, execuções, desaparecimentos e ocultação de cadáveres.  #DitaduraNuncaMais #1964NãoDáPraComemorar https://t.co/TmN5rLAExa;561;1644;1112182183064670209;2019-03-31 02:37:50
14;O Golpe de 64: Na ditadura, a oposição foi atacada com toda a violência do Estado: 434 pessoas foram assassinadas, de acordo com a Comissão da Verdade. Entre essas, 212 ainda estão desaparecidas. As famílias jamais encontraram os corpos.  #DitaduraNuncaMais #1964NãoDáPraComemorar https://t.co/jdfdiQ4X36;315;818;1112170384793763841;2019-03-31 01:50:57
15;O Golpe de 64: No auge da ditadura, estudantes e ativistas lutaram contra o regime militar. Um foi Stuart Angel Jones, assassinado em 1971, aos 24 anos, depois de ser brutalmente torturado por agentes do Cisa. Está “desaparecido”.  #DitaduraNuncaMais #1964nãodápracomemorar https://t.co/7Em6kbNKaq;543;1831;1112156106674053121;2019-03-31 00:54:13
16;@hilde_angel, meus sentimentos. https://t.co/bGBzvzjezp;23;75;1112136289619529728;2019-03-30 23:35:28
17;O Golpe de 64: Na ditadura, muitas famílias jamais conseguiram informações sobre o paradeiro dos filhos. Foi o caso da estilista Zuzu Angel. O filho Stuart Angel foi assassinado pelo Estado em 1971. Zuzu foi assassinada em 1976.  #DitaduraNuncaMais #1964NãoDáPraComemorar https://t.co/EQky7qlFyu;407;1377;1112132724599541767;2019-03-30 23:21:18
18;O Golpe de 64: Na ditadura, reuniões eram proibidas e votar pra prefeito, governador e presidente também. Repressão e brutalidade  eram palavras de ordem. O ódio era semeado contra os opositores.  #DitaduraNuncaMais #1964NãoDáPraComemorar https://t.co/vrh49gmyK0;797;2997;1112113814919630849;2019-03-30 22:06:10
19;O Golpe de 64: Na ditadura, as prisões de dirigentes de movimentos populares eram seguidas de tortura e até a morte. Gregorio Bezerra foi preso e torturado.  #DitaduraNuncaMais #1964NãoDáPraComemorar https://t.co/DH3GCurOOW;380;1107;1112021288757923840;2019-03-30 15:58:30
