;tweet;retweet;favoritos
0;Oi, pessoal, ao lembrar o Dia Mundial da Água, resgato um trecho do discurso que proferi no 8° Fórum Mundial da Água, ocorrido em Brasília, no ano passado. https://t.co/kAeZSUZRfR;2;17
1;Em discurso no Senado Federal, externei minha preocupação com a proposta de reforma da Previdência, pois ela indica que os mais  dependentes da ajuda do poder público terão de arcar com a parte mais dura do ajuste. https://t.co/1bsBvlq4ri;4;17
2;Pela nova idade, felicitações ao meu amigo Kelmann Vieira.  Sucesso e saúde em sua vida. 👍🤝✅ https://t.co/h1DXbHHj8F;2;6
3;Consternado, solidarizo-me com os familiares e amigos das vítimas da tragédia ocorrida em Suzano. https://t.co/QaeSYG2E8h;1;29
4;Em São Miguel dos Campos, participei do ato de inauguração de mais 32 km de duplicação da BR-101 em Alagoas. Ao ministro da Infraestrutura, Tarcísio de Freitas, meu agradecimento pelo registro elogioso ao meu trabalho pela retomada dessa obra federal, que se encontrava paralisada https://t.co/5duFjxlLc6;2;19
5;▶️ Assista a este vídeo e veja por que a experiência faz a diferença: confira! https://t.co/8wN0xqDmZL;6;26
6;Recebendo em nosso gabinete, no Senado, os amigos Sérgio Toledo, deputado federal, Cacau, prefeito de Marechal Deodoro. e Geraldo Filho, prefeito de Carneiros.  #alagoas #senadofederal… https://t.co/020XvAYw9l;1;8
7;É importe que haja uma ampla discussão sobre o pacote anticrime. Discursei sobre o tema nesta quarta, no Senado Federal. https://t.co/522s9vq0Cs;1;16
8;As medidas anticrime apresentadas pelo Ministério da Justiça e Segurança Pública podem até ser um ponto de partida para o debate. Diante da violência e da insegurança no País, é uma… https://t.co/NZYex6o9du;0;6
9;Convidado, participei do ato comemorativo ao Dia Nacional da República Islâmica do Irã, que ocorreu em Brasília. Na oportunidade, destaquei as boas relações que o Brasil mantém com os… https://t.co/dIfpcdftyl;2;15
10;Lamento o falecimento do jornalista Ricardo Boechat, em acidente no qual também perdeu a vida o piloto do helicóptero. Meu sentimento pesaroso às famílias enlutadas, extensivo à Rede… https://t.co/MBk7KkB4mf;4;35
11;Estou comovido e triste com a tragédia que vitimou os garotos no CT do Flamengo. Minha solidariedade aos familiares e ao Clube nesse momento de muito sofrimento. #forcaflamengo  #luto… https://t.co/AY5usnwCp2;1;36
12;O Congresso Nacional não pode apequenar-se. Precisamos defender as prerrogativas do Poder Legislativo perante as demais instituições. O Congresso também deve buscar sempre a construção do consenso pelo exercício do diálogo, em prol da governabilidade e do desenvolvimento do País. https://t.co/5zxdIsRyb5;7;84
13;Estarei também atento às medidas que deverão ser tomadas para que tragédia como essa - e de Mariana - jamais volte a se repetir.;2;43
14;Meu sentimento de tristeza pela perda de vidas humanas, e de solidariedade às famílias do trágico acontecimento de Brumadinho. De Brasília, acompanho a evolução das providências em favor das vítimas....;0;25
15;Collor se filia ao @prosnacional. Assista https://t.co/NcJilTlgBv;7;25
16;Ao Eurípedes e ao capitão Wagner, deputado federal eleito pelo Ceará, agradeço a confiança e o apoio.;0;10
17;Convidado pelo presidente Eurípedes Junior, filiei-me ao Partido Republicano da Ordem Social. De forma coesa, o PROS atuará no Congresso Nacional em defesa das reformas, imprescindíveis para tirar o Brasil da crise e avançar na  construção de um desenvolvimento sustentável... https://t.co/YZFiQG7n2b;7;25
18;Faz hoje 90 anos do nascimento de Martin Luther King. Faço este registro em homenagem à memória de um grande humanista. https://t.co/1gfMxEN5iE;2;31
19;Ao @Gen_VillasBoas, que acaba de transmitir o cargo de Cmte do Exército, o meu reconhecimento pelo competente trabalho realizado. https://t.co/eVkegBr3Ms;2;42
20;No gabinete da presidência do @SenadoFederal, recepcionando o presidente @jairbolsonaro e o vice @GeneralMourao . https://t.co/dT0TXCSpHB;37;306
21;#destaquenasemana https://t.co/7TcONjPsU5;0;11
