;tweet;retweet;favoritos
0;"No passado: penso, logo existo (Descartes). Hoje, estou “conectado”, logo existo;não é mais o indivíduo isolado, mas em interação. Logo a responsabilidade e a solidariedade se impõem. As reformas que forem necessárias são “nossas”, não “deles”. O “nós “e “eles” expressa o atraso.";339;2477
1;"Paradoxo brasileiro: os partidos são fracos, o Congresso é forte. Presidente que não entende isso não governa e pode cair; maltratar quem preside a Câmara é caminho para o desastre. Precisamos de bom senso, reformas, emprego e decência. Presidente do país deve moderar não atiçar.";2337;16450
2;Fake news: não tenho nem nunca tive apartamento ou qualquer propriedade no exterior. Divulgar o contrário é mera difamação que não merece resposta. Idem sobre compra de votos. Basta ler meus Diários da Presidência para ver como agi.;62;881
3;A chacina da escola de Suzano requer solidariedade às vítimas e reflexão: falar em armar professores é um desatino. Armas devem estar nas mãos de policiais e militares que saibam usá-las para proteger cidadãos e retira-las de bandidos  que atazanam o povo.;1484;11591
4;Há declarações de autoridades sobre os pilares da democracia. O principal é o povo, penso. Constituição livremente aprovada, Executivo, Legislativo e Justiça respeitosos dela são básicos. As Forças Armadas, nas democracias são garantidoras da vontade popular e da Constituição.;802;6273
5;Conversei com Gaidó. Novas eleições  livres são o caminho para o futuro democrático na Venezuela. Intervenções militares não conduzem à democracia. Pressão internacional ajuda. A luta é do povo venezuelano, só ele pode escolher seu destino político.;627;6194
6;Reforma de Previdência: vale ouvir o Globo News Painel. É relevante, como já foi a entrevista no Valor, o que diz Roberto Brant. Também Paulo Partner é esclarecedor. E o secretário tenta explicar a reforma que é necessária e afeta milhões de pessoas. Opinem!;137;1334
7;Inicio de governo é desordenado. o atual está abusando. Não dá para familiares porem lenha na fogueira. Problemas sempre há, de sobra. O Presidente, a família, os amigos e aliados que os atenuem, sem soprar nas brasas. O fogo depois atinge a todos, afeta o país. É tudo a evitar;1024;7992
8;Mês difícil. Muitas mortes: Boechat ontem, hoje, Bibi Ferreira. Assisti a ótimos espetáculos dela. Viveu algum tempo com um tio da ex Pr da Irlanda, grande defensora dos direitos humanos, Mary Robinson, minha colega no grupo do Mandela, os Elders. Duas grandes perdas. Saudades.;85;1928
9;@LeonardoBoff Obrigado! Enquanto tiver forças, a despeito dos xingamentos, continuarei a expor sobriamente como vejo as coisas, sem mais querer do que expressar o que sinto e penso. Mesmo sabendo que na prática posso pouco.;11;340
10;Triste eleição no Senado. Não há esquerda e direita, nem governo e oposição. Ou se reorganizam forças políticas ou como votar reformas? O povo se desilude, paga o custo da desordem e se abrem portas para aventuras. Livremo-nos delas.;1291;10044
11;Que a tragédia de Brumadinho abra os olhos do  governo. Meio ambiente não é zoeira de esquerda: é respeito à vida das pessoas e do planeta.  O Governo  deve regular e fiscalizar com mais energia sem demonizar quem disso se ocupa. Solidariedade às vítimas, mais ação para o futuro.;6978;32095
12;A situação da Venezuela exige podicionamento. Embora acredite que soluções políticas devam ser do país, não há como calar: é preciso devolver ao povo a liberdade e a democracia, que lhe foram usurpadas. Todo poder à Assembleia Nacional para convocar eleições sem fraude. Basta!;1404;9699
13;Ainda em Paris tomei posse na Academia de Ciências Ultramarinas a que pertenço desde 2017. Discursos. Volto hoje. Por mais que ande pelo mundo, bom é estar no Brasil. Macron reúne as Câmaras locais e luta contra a descrença popular dos que mandam. Isso se não consola, adverte.;56;1101
14;Participei em Paris de um diálogo com Alain Touraine sobre a crise nas democracias.Dei entrevistas à mídia francesa, sobre a importância das instituições e da liberdade. Elas persistirão no Brasil, cujo povo  também precisa de emprego e renda sem o quê o demais parece supérfluo.;238;2913
15;Hoje 1/1/19, do exterior , desejo o melhor para todos os brasileiros e brasileiras. Que o novo governo ajude o povo a ter trabalho, reconheça a dignidade das pessoas e lhes dê segurança, a Constituição nas mãos e a esperança a motivar o país no rumo da decência e do crescimento.;641;8706
16;Lamento a morte de Sigmaringa Seixas. Fomos colegas quando ele era deputado e eu senador. Ajudou muito na redemocratização do Brasil. Condolências à família.;128;2430
17;Errei: referia- me a decisão monocrática, que implica como as demais, além do respeito às leis e à Constituição, em avaliar as consequências. E tudo é sujeito a interpretações: daí ser melhor que o colegiado opine logo.;53;750
18;@Jujuca1987;9;36
19;"A decisão de juiz do STF, é como a de líder político: mede-se pelas consequências; liberar condenados em 2. instância, mesmo em nome da Constituição, tem resultado negativo: aumenta a insegurança e a descrença na  Justiça. Que o plenário resolva logo a questão.";895;6228
20;Diariamente há pessoas acusadas de corrupção ou mal uso de dinheiro publico. Lamento que antes de começar o novo governo pedras sejam lançadas.É preciso verificar, antes de condenar, mas sem confiança e credibilidade impossível reconstruir o país, como a maioria do povo deseja.;599;4955
21;O presidente do STF tem razão: chegou a hora dos juízes deixarem de decidir sobre controvérsias propias do Congresso. Assim como   cabe ao Executivo propor a agenda do país e submete-la ao Congresso, que não se deve  omitir. Simples e sensatos princípios básicos da democracia.;212;1904
22;Faleceu Bush,pai. Estive com ele um par de vezes. Um republicano conservador, à antiga: civilizado. Percebeu a importância da China. Nunca foi um “cruzado”. Sabia que a paz e o multilateralismo contam. Meus pêsames à família.;235;3290
23;"O site Poder 360 resume bem: o futuro ministério será liberal em economia, conservador nos costumes e vários têm origem militar.  O resto são especulações. Aguardo ações concretas para opinar; espero que não errem muito  e que a vida e as pressões detenham ímpetos reacionários.";588;5556
