;tweet;retweet;favoritos
0;RT @Haddad_Fernando: Bolsonaro rasga Constituição de 1988 e divulga vídeo pró-golpe. Um verdadeiro crime contra a democracia que trai juram…;2657;0
1;Enquanto eles se esforçam pra reescrever a História, a nós nos cabe denunciá-la. https://t.co/Oj0TbJUgYd;399;1668
2;RT @inst_lula: 55 anos do golpe militar: não há nada a comemorar!   O #InstitutoLula se coloca ao lado de todos que lutaram pela restituiçã…;285;0
3;RT @inst_lula: No dia 30 de março de 2011, há oito anos, o presidente @LulaOficial recebia o título de Doutor Honoris Causa pela Universida…;894;0
4;"RT @sejademocracia: Há 55 anos &gt; No último discurso, Jango antevê golpe  No dia 30 de março de 1964, durante festa da PM, presidente denunc…";85;0
5;Foi para isso que impediram o melhor presidente da história do Brasil de se candidatar e voltar?   #timelula  Ilustração: Vitor Teixeira https://t.co/4nURBpJLT8;1482;5580
6;Derrubaram a Dilma há quase 3 anos com a desculpa de que iriam “consertar” o país. Iludiram o povo e aumentaram o desemprego, a perda de direitos e a miséria. Enquanto o atual governo brinca de enfrentar “fantasmas ideológicos”, o povo sofre. #timelula https://t.co/BhxzYLnAKi;2218;8499
7;RT @luizmarinhopt: Enquanto @jairbolsonaro brinca de presidente no seu celular o país se desintegra, a economia patina e milhões de pais e…;166;0
8;“Ele disse que não é momento de fazer o embate só WhatsApp e Twitter, que o momento é de discutir olho no olho, nas ruas, com um por um. É assim que nós vamos vencer essa batalha, com trabalho de base” https://t.co/K4OlrHQngn;662;2949
9;🚨 AO VIVO: João Paulo Rodrigues, dirigente do MST, e Moises Selerges, dirigente do Sindicato dos Metalúrgicos do ABC, relatam visita a Lula na prisão #LulaLivreJá https://t.co/yqqPoffnvg;80;305
10;Vai ter jornada #LulaLivre no Brasil inteiro e no mundo inteiro. Participe: divulgue, organize, crie uma ação, chame seus amigos. https://t.co/UuAnLwdplv;783;2123
11;"""Não há razão jurídica para a manutenção dessa situação arbitrária a qual Lula se encontra submetido. Por isso mesmo a campanha Lula Livre tem meu entusiasmo e meu apoio. Lula Livre por uma Brasil livre e democrático"", @FlavioDino sobre a campanha #LulaLivre https://t.co/O5blt4w1ww";1128;4400
12;Construa também a Jornada Lula Livre. 🚩Baixe o kit de comunicação aqui e discuta na sua organização, entidade e coletivo o que pode ser feito https://t.co/Hh4i19NJ0e #LulaLivre;343;1148
13;Preso político há quase um ano, Lula tem direito a receber dois amigos por um período restrito a uma hora toda quinta. O encontro deve ter como pauta o papel de resistência dos movimentos sociais na luta pela garantia de direitos do povo brasileiro. https://t.co/IHpajbez8c;395;1811
14;Caravana Lula Livre começa no Rio Grande do Sul, Santa Catarina e Paraná, nos dias 5, 6 e 7 de abril, respectivamente, com @Haddad_Fernando, candidato do PT nas Eleições 2018. https://t.co/zbB9ZufX3B;491;1867
15;RT @inst_lula: O #InstitutoLula se coloca ao lado de todos que lutaram pela restituição da democracia e convida todos a visitarem, comparti…;105;0
16;RT @ptbrasil: A caravana #LulaLivre com @Haddad_Fernando vai tomar as ruas do Brasil e desembarca no Sul na primeira semana de abril.  Dias…;508;0
17;Um manifesto assinado por mais de 400 juristas brasileiros pede a liberdade do ex-presidente, mantido como preso político desde 7 de abril de 2018. https://t.co/6fKlyY64x5;1071;4025
18;"O que Mourão sonha para o fim do seu mandato com Bolsonaro? Que tenham o reconhecimento dado a Lula em prêmio na Holanda. Vice citou ""Quatro Liberdades"" de Roosevelt, prêmio ganho por Lula em 2012 #timeLula #LulaLivre   https://t.co/ojs1vabgzB";465;1557
19;O mundo sabe.  #LulaLibre #FreeLula #LulaLivre  Vídeo: Comitê Internacional Lula Livre https://t.co/bxpEA54Kgg;1286;4579
20;Os partidos de oposição ao governo Bolsonaro – PDT, PT, PCdoB, PSB, PSOL e Rede – reunidos e unidos, se manifestam sobre a proposta de Reforma da Previdência. https://t.co/fo5MsDDEr8;1015;4525
21;Oposição unida pela democracia, contra a Reforma da Previdência e por #LulaLivre. Sabemos que um Brasil muito melhor é possível. #timeLula https://t.co/MVHviwsmj4;715;3698
22;RT @BuzzFeedBrasil: 11 histórias de crianças atingidas pela Ditadura Militar brasileira https://t.co/Rg3UqfIEa2 #DitaduraNuncaMais;4246;0
23;Você pode trocar um governo que aprova mais de um agrotóxico por dia por um #LulaLivre que promove a inclusão social, a agricultura familiar na merenda escolar e o combate contra a fome e a miséria no Brasil. É muito mais saudável. #TimeLula https://t.co/fEueMMPEE3;1904;10184
